Designator,Mid X,Mid Y,Rotation,Layer
BT1,37.8,-22.125,0.0,top
C1,22.975,-19.725,0.0,top
D1,25.875,-15.0575,90.0,top
J1,19.745,-15.64,180.0,top
J2,38.305,-46.2,0.0,top
J3,14.15,-23.61,0.0,top
R1,13.85,-17.575,90.0,top
R2,13.76,-14.125,0.0,top
U1,22.55,-24.925,90.0,top
U2,19.95,-38.7,180.0,top
U3,37.0425,-15.4225,90.0,top
U4,37.365,-30.475,270.0,top
